epigrame nr.,
1,<Ἀδέσποτον>
2,<Ἀδέσποτον>
3,<Ἀδέσποτον>
4,<Ἀδέσποτον>
5,<Ἀδέσποτον>
6,<Ἀδέσποτον>
7,<Ἀδέσποτον>
8,<Ἀδέσποτον>
9,<Ἀδέσποτον>
10,<Ἀδέσποτον>
11,<Ἀδέσποτον>
12,<Ἀδέσποτον>
13,<Ἀδέσποτον>
14,<Ἀδέσποτον>
15,<Ἀδέσποτον>
16,<Ἀδέσποτον>
17,<Ἀδέσποτον>
18,<Ἀδέσποτον>
19,< Κλαυδιανοῦ >
20,<Ἀδέσποτον>
21,<Ἀδέσποτον>
22,<Ἀδέσποτον>
23,< Μαρίνου >
24,<Ἀδέσποτον>
25,<Ἀδέσποτον>
26,<Ἀδέσποτον>
27,<Ἀδέσποτον>
28,< Μαρίνου >
29,<Ἀδέσποτον>
30,<Ἀδέσποτον>
31,<Ἀδέσποτον>
32,<Ἀδέσποτον>
33,Νείλου Σχολαστικοῦ
34,Ἀγαθίου Σχολαστικοῦ
35,Τοῦ αὐτοῦ
36,Ἀγαθίου Σχολαστικοῦ
37,<Ἀδέσποτον>
38,<Ἀδέσποτον>
39,<Ἀδέσποτον>
40,<Ἀδέσποτον>
41,<Ἀδέσποτον>
42,<Ἀδέσποτον>
43,<Ἀδέσποτον>
44,<Ἀδέσποτον>
45,<Ἀδέσποτον>
46,<Ἀδέσποτον>
47,<Ἀδέσποτον>
48,<Ἀδέσποτον>
49,<Ἀδέσποτον>
50,<Ἀδέσποτον>
51,<Γρηγορίου τοῦ Θεολόγου>
52,<Ἀδέσποτον>
53,<Ἀδέσποτον>
54,<Ἀδέσποτον>
55,<Ἀδέσποτον>
56,<Ἀδέσποτον>
57,<Ἀδέσποτον>
58,<Ἀδέσποτον>
59,<Ἀδέσποτον>
60,<Ἀδέσποτον>
61,<Ἀδέσποτον>
62,<Ἀδέσποτον>
63,<Ἀδέσποτον>
64,<Ἀδέσποτον>
65,<Ἀδέσποτον>
66,<Ἀδέσποτον>
67,<Ἀδέσποτον>
68,<Ἀδέσποτον>
69,<Ἀδέσποτον>
70,<Ἀδέσποτον>
71,<Ἀδέσποτον>
72,<Ἀδέσποτον>
73,<Ἀδέσποτον>
74,<Ἀδέσποτον>
75,<Ἀδέσποτον>
76,<Ἀδέσποτον>
77,<Ἀδέσποτον>
78,<Ἀδέσποτον>
79,<Ἀδέσποτον>
80,<Ἀδέσποτον>
81,<Ἀδέσποτον>
82,<Ἀδέσποτον>
83,<Ἀδέσποτον>
84,<Ἀδέσποτον>
85,<Ἀδέσποτον>
86,<Ἀδέσποτον>
87,<Ἀδέσποτον>
88,<Ἀδέσποτον>
89,<Ἀδέσποτον>
90,Σωφρονίου πατριάρχου Ἱεροσολύμων
91,<Ἀδέσποτον>
92,< Γρηγoρίου τοῦ Ναζιανζηνοῦ >
93,<Ἀδέσποτον>
94,<Ἀδέσποτον>
95,<Ἀδέσποτον>
96,<Ἀδέσποτον>
97,<Ἀδέσποτον>
98,<Ἀδέσποτον>
99,< Κύρου τοῦ Πανοπολίτου >
100,<Ἀδέσποτον>
101,Μενάνδρου Προτίκτορος
102,<Ἀδέσποτον>
103,<Ἀδέσποτον>
104,<Ἀδέσποτον>
105,<Ἀδέσποτον>
106,... Μαζαρήνου
107,<Ἀδέσποτον>
108,<Ἀδέσποτον>
109,Ἰγνατίου τοῦ Μαγίστορος τῶν Γραμματικῶν
110,<Ἀδέσποτον>
111,<Ἀδέσποτον>
112,<Ἀδέσποτον>
113,<Ἀδέσποτον>
114,<Ἀδέσποτον>
115,<Ἀδέσποτον>
116,<Ἀδέσποτον>
117,<Ἀδέσποτον>
118,<Ἀδέσποτον>
119,<Ἀδέσποτον>
120,< Γεωργίου Πισίδου >
121,< Γεωργίου Πισίδου >
122,Μιχαὴλ Χαρτοφύλακος 
123,Σωφρονίου
