Hexameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
critical edition*,hyphenation,mans. version,epigrame no.,verse no.,κατὰ στίχον/ elegiac distich,metrical pattern & spondaic hex.,ms. metrical pattern,,syntactic caesura & bucolic diaeresis,,,,metrical caesura,,,,diaereses,,,,,,final word,word before caesura,bridge violations,,,,homodynia
"*Antologia Palatină, Cartea I. Poemele creștine, coord.: Simona Nicolae, co-authors: Ștefan Zară, Ștefan Lungu, Cristian Șimon, Sebastian Clinciu, Ecaterina Clinciu, Bucharest, Bucharest University Press, 2026",,,,,,,,first foot,triem,penth,hephth,bucolic,first foot,trihemim,penthem,hephth,D1,D2,D3,D4 (bucolic),D5,total,"oxyton=1, parox.=2, proparox.=3, perisp.-4, properisp.=5","oxyton=1, parox.=2, proparox.=3, perisp.-4, properisp.=5","Meyer
dactilic 2","Hermann
dactilic 4",Naeke spondaic 4,"Hilberg
spondaic 2",
"Θεῖος Ἰουστῖνος, Σοφίης πόσις, ᾧ πόρε Χριστὸς","Θεῖ#ος Ἰ#ουσ#τῖ#νος, Σο#φί#ης πό#σις, ᾧ πό#ρε Χρισ#τὸς",,2,1,distih,DSDDDT,,,,5M,,B,1F,,5M,7M,,,,1,1,2,1,"5, 2",,,,,1 5
"μητρὸς ἀπειρογάμοιο δόμον σκάζοντα νοήσας,","μη#τρὸς ἀ#πει#ρο#γά#μοι#ο δό#μον σκά#ζον#τα νο#ή#σας,",,2,3,distih,DDDSDS,,,,5F,,,1F,,5F,7M,,,,,,0,2,3,,,,,6
Ὁ πρὶν Ἰουστῖνος περικαλλέα δείματο νηὸν,Ὁ πρὶν Ἰ#ουσ#τῖ#νος πε#ρι#καλ#λέ#α δεί#μα#το νη#ὸν,Ὁ πρὶν Ἰουστῖνος περικαλλέα δείματο νηὼν ,3,1,distih,DSDDDT,DSDDDS ,,,5M,,,1F,,5M,,,,,1,1,2,1,5,,,,,5
ὁπλότερος δὲ μετ’ αὐτὸν Ἰουστῖνος βασιλεύων,ὁπ#λό#τε#ρος δὲ με#τ' αὐ#τὸν Ἰ#ουσ#τῖ#νος βα#σι#λεύ#ων,,3,3,distih,DDDSDS,,,,5F,,,,3F,5F,,,,,,,0,2,"1, 1",M,,,,6
"Tοῦτον Ἰωάννῃ, Χριστοῦ μεγάλῳ θεράποντι,","Tοῦ#τον Ἰ#ω#άν#νῃ, Χρισ#τοῦ με#γά#λῳ θε#ρά#πον#τι,",,4,1,hex,DSSDDT,,,,5M,,,1F,,5M,7M,,,,,,0,3,2,,,,,1 4
Στούδιος ἀγλαὸν οἶκον ἐδείματο· καρπαλίμως δὲ,Στού#δι#ος ἀγ#λα#ὸν οἶ#κον ἐ#δεί#μα#το· καρ#πα#λί#μως δὲ,,4,2,hex,DDDDDT,,,,,,B,,,5F,,1,1,,1,,3,1,3,,,,,1 3 4
"τῶν κάμεν εὕρετο μισθόν, ἑλὼν ὑπατηΐδα ῥάβδον.","τῶν κά#μεν εὕ#ρε#το μισ#θόν, ἑλ#ὼν ὑ#πα#τη#ΐ#δα ῥάβ#δον.",,4,3,hex,DDDDDT,,,,5F,,,1M,,5F,7M,1,1,,,1,3,2,1,,,,,1 2 4 6
"Tόνδε θεῷ κάμες οἶκον, Ἀμάντιε, μεσσόθι πόντου,","Tόν#δε θε#ῷ κά#μες οἶ#κον, Ἀ#μάν#τι#ε, μεσ#σό#θι πόν#του,",,5,1,distih,DDDDDS ,,,,5F,,B,1F,3M,5F,,,1,,1,1,3,2,"5, 3",,,,,1 2 3 4 6
"Οὐ νότος, οὐ βορέης ἱερὸν σέο δῶμα τινάξει,","Οὐ νό#τος, οὐ βο#ρέ#ης ἱ#ε#ρὸν σέ#ο δῶ#μα τι#νά#ξει,",,5,3,distih,DDDDDS,,,,5M,,,1M,,5M,,1,,,1,,2,2,2,,,,,4 5 6
Ζώοις ἤματα πολλά· σὺ γὰρ νεοθηλέα Ῥώμην,Ζώ#οις ἤ#μα#τα πολ#λά· σὺ γὰρ νε#ο#θη#λέ#α Ῥώ#μην,,5,5,distih,SDDDDS,,,,5F,,,,,5F,7M,1,1,1,,1,4,2,1,,,,,1 2 4 6
"Σφωράκιος ποίησε, φυγὼν φλόγα, μάρτυρι νηόν.","Σφω#ρά#κι#ος ποί#η#σε, φυ#γὼν φλό#γα, μάρ#τυ#ρι νη#όν.",,6,1,hex,DSDDDT,,,,5F,,B,,3M,5F,7M,,,,1,1,2,1,"3, 2",,,,,4  5
"Σφωράκιε, ζώοντι φίλα θρεπτήρια τίνων","Σφω#ρά#κι#ε, ζώ#ον#τι φί#λα θρεπ#τή#ρι#α τί#νων",,7,1,hex,DSDSDS,,,3M,,,,,3M,5F,7M,,,,,1,1,2,3,,,,,5 6
γήθεεν Ἀντόλιος σὸς ἀνεψιός· οἰχομένῳ δὲ,γή#θε#εν Ἀν#τό#λι#ος σὸς ἀ#νε#ψι#ός· οἰ#χο#μέ#νῳ δὲ,,7,2,hex,DDDDDT,,,,,,B,,,5M,,1,,,1,,2,1,1,,,,,1
"αἰεί σοι γεραρὴν τελέει χάριν, ὥστε καὶ ἄλλην","αἰ#εί σοι γε#ρα#ρὴν τε#λέ#ει χά#ριν, ὥσ#τε καὶ ἄλ#λην",,7,3,hex,SDDDDS,,,,,,B,,,5M,7M,1,,,1,1,3,2,2,,,,,3 5 6
εὗρε καὶ ἐν νηῷ σ' ἀνεθήκατο τὸν κάμες αὐτός.,εὗ#ρε καὶ ἐν νη#ῷ σ' ἀ#νε#θή#κα#το τὸν κά#μες αὐ#τός.,,7,4,hex,DSDDDT,,,,,,B,1F,,5M,,1,,,1,1,3,1,3,,,,,1 3 4 5
