Iamb,,,,,,,,,,,,
critical edition,hyphenation,manuscript version,epigrame no.,verse no.,metrical pattern,ms. metrical pattern,caesura,word before caesura,long syllabe before caesura,Porson bridge,"paroxyton word, 6th foot",homodynia
,,,,,,,,"oxiton=1, parox.=2, proparox.=3, perisp.=4, properisp.=5",,,,
Ἃς οἱ πλάνοι καθεῖλον ἐνθάδ' εἰκόνας·,Ἃς οἱ πλά#νοι κα#θεῖ#λον ἐν#θά#δ' εἰ#κό#νας·,,1,1,SIIIIP,,7,5,0,,1,3
ἄνακτες ἐστήλωσαν εὐσεβεῖς πάλιν.,ἄ#νακ#τες ἐσ#τή#λω#σαν εὐ#σε#βεῖς# πά#λιν.,,1,2,IISIIP,,7,3,0,,1,5
Τοῖς σοῖς θεράπουσιν ἡ θεράπαινα προσφέρω,Τοῖς σοῖς θε#ρά#που#σιν ἡ θε#ρά#παι#να προσ#φέ#ρω,,11,1,SApIApII ,,5,2,"1,0",,1,1
"Σοφία τὸ δῶρον. Χριστέ, προσδέχου τὰ σὰ","Σο#φί#α τὸ δῶ#ρον. Χρισ#τέ, προσ#δέ#χου τὰ σὰ",,11,2,ApIISIP ,,5,4,1,,,2 6
καὶ τῷ βασιλεῖ μου μισθὸν Ἰουστίνῳ δίδου,καὶ τῷ βα#σι#λεῖ μου μισ#θὸν Ἰ#ουσ#τί#νῳ δί#δου,,11,3,SApSApSI ,,5,4,1,,1,1 2
νίκας ἐπὶ νίκαις κατὰ νόσων καὶ βαρβάρων.,νίκ#ας ἐ#πὶ νί#καις κα#τὰ νό#σων καὶ βαρ#βά#ρων.,,11,4,SApTApSI ,,6,2,1,1,1,2
"Ἡ μὲν σοφὴ δέσποινα τῆς οἰκουμένης,","Ἡ μὲν σο#φὴ δέσ#ποι#να τῆς οἰ#κου#μέ#νης,",,105,1,SISISI,,7,3,0,,1,1 2 4
"ὑπ' εὐσεβοῦς ἔρωτος ἠρεθισμένη,","ὑ#π' εὐ#σε#βοῦς ἔ#ρω#τος ἠ#ρε#θισ#μέ#νη,",,105,2,IIIIII,,7,3,0,,1,2
"πάρεστι δούλη, προσκυνεῖ δ' ἑνὸς τάφον","πά#ρεσ#τι δού#λη, προσ#κυ#νεῖ δ' ἑ#νὸς τά#φον",,105,3,IISIIP,,5,2,1,,1,2 4 5
ἡ πᾶσιν ἀνθρώποισι προσκυνουμένη.,ἡ πᾶ#σιν ἀν#θρώ#ποι#σι προσ#κυ#νου#μέ#νη.,,105,4,SISIII,,7,3,0,,1,1
Ὁ γὰρ δεδωκὼς τὸν θρόνον καὶ τὸν γάμον,Ὁ γὰρ δε#δω#κὼς τὸν θρό#νον καὶ τὸν γά#μον,,105,5,IISISP,,5,1,1,1,1,1 3 5
"τέθνηκεν ὡς ἄνθρωπος, ἀλλὰ ζῇ θεός.","τέθ#νη#κεν ὡς ἄν#θρω#πος, ἀλ#λὰ ζῇ θε#ός.",,105,6,IISIIP,,7,3,0,,1,5 6
"[Κάτω μὲν ἠνθρώπιζεν, ἦν δ' ὡς ἦν ἄνω.]","[Κά#τω μὲν ἠν#θρώ#πι#ζεν, ἦν δ' ὡς ἦν ἄ#νω.]",,105,7,IISISI,,7,3,0,1,1,4 5
Ἔλαμψεν ἀκτὶς τῆς ἀληθείης πάλιν,Ἔ#λαμ#ψεν ἀκ#τὶς τῆς ἀ#λη#θεί#ης πά#λιν,,106,1,IISISP,,5,1,1,,1,3
καὶ τὰς κόρας ἤμβλυνε τῶν ψευδηγόρων·,καὶ τὰς κό#ρας ἤμ#βλυ#νε τῶν ψευ#δη#γό#ρων·,,106,2,SISISI,,7,3,0,,1,1 4
"ηὔξησεν εὐσέβεια, πέπτωκε πλάνη·","ηὔ#ξη#σεν εὐ#σέ#βει#α, πέ#πτω#κε πλά#νη·",,106,3,SIIISI,,7,3,0,,1,4
καὶ πίστις ἀνθεῖ καὶ πλατύνεται χάρις.,καὶ πίσ#τις ἀν#θεῖ καὶ πλα#τύ#νε#ται χά#ρις.,,106,4,SISIIP,,5,4,1,,1,1 3 4
Ἰδοὺ γὰρ αὖθις Χριστὸς εἰκονισμένος,Ἰ#δοὺ γὰρ αὖ#θις Χρισ#τὸς εἰ#κο#νισ#μέ#νος,,106,5,IISIIP,,7,1,0,,1,1 2
