critical edition,,mans. version,epigramme no.,verse no.,metrical pattern,final word in the first hemistich,,,,,final word in the second hemistich,,,,homodynia,,,,,,,,,,,,
text editat,text editat metric,text manuscris,,,,oxiton,parox.,proparox.,perisp.,properisp.,oxiton,parox.,proparox.,perisp.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"πάντα διορθοῦσθαι καὶ κλέος ἐν πολέμοις,","πάν#τα δι#ορ#θοῦσ#θαι καὶ κλέ#ος ἐν πο#λέ#μοις,",,2,2,DS_ ‖ DD_ ,,1,,,,,1,,,_1 4,,,,,,,,,,,,
"σαθρὸν ἀποσκεδάσας, τεῦξέ μιν ἀσφαλέως.","σαθ#ρὸν ἀ#ποσ#κε#δά#σας, τεῦ#ξέ μιν ἀσ#φα#λέ#ως.",,2,4,DD_ ‖ DD_,,1,,,,,1,,,_4,,,,,,,,,,,,
"τοῦτον μητρὶ θεοῦ, κάλλεϊ λαμπόμενον·","τοῦ#τον μη#τρὶ θε#οῦ, κάλ#λε#ϊ λαμ#πό#με#νον·",,3,2,SD_ ‖ DDÈ ,,,,1,,,,1,,_1 3 4,,,,,,,,,,,,
κρείσσονα τῆς προτέρης ὤπασεν ἀγλαΐην.,κρείσ#σο#να τῆς προ#τέ#ρης ὤ#πα#σεν ἀγ#λα#ΐ#ην.,,3,4,DD_ ‖ DD_,,1,,,,,1,,,_1 2 4,,,,,,,,,,,,
τοῖς πολυδινήτοις κύμασι μαρνάμενος.,τοῖς πο#λυ#δι#νή#τοις κύ#μα#σι μαρ#νά#με#νος.,,5,2,DS_ ‖ DDÈ ,,1,,,,,,1,,_1 4,,,,,,,,,,,,
νηῷ θεσπεσίῳ τῷδε φυλασσόμενον.,νη#ῷ θεσ#πε#σί#ῳ τῷ#δε φυ#λασ#σό#με#νον.,,5,4,SD_ ‖ DDÈ ,,1,,,,,,1,,_4,,,,,,,,,,,,
"πόντῳ ἐπαΐξας, θήκαο φαιδροτέρην. ","πόν#τῳ ἐ#πα#ΐ#ξας, θή#κα#ο φαιδ#ρο#τέ#ρην. ",,5,6,DS_ ‖ DD_ ,,1,,,,,1,,,_1 4,,,,,,,,,,,,
τῇ πρὶν ἀρειοτέρην νῦν λάχον ἀγλαΐην.,τῇ πρὶν ἀ#ρει#ο#τέ#ρην νῦν λά#χον ἀγ#λα#ΐ#ην.,τῇ πρῖν ἀ#ρει#ο#τέ#ρην νῦν λά#χον ἀγ#λα#ΐ#ην.,13,2,DD_ ‖DD_ ,,1,,,,,1,,,_1 4,,,,,,,,,,,,
ξῦσεν Ἰουλιανὴ καὶ νέον ἄνθος ἔχω.,ξῦ#σεν Ἰ#ου#λι#α#νὴ καὶ νέ#ον ἄν#θος ἔ#χω.,,14,2,DD_ ‖DD_ ,1,,,,,,1,,,_1 3 4 5,,,,,,,,,,,,
εἶχεν Ἰουλιανὴ μάρτυρα νηοπόλον·,εἶ#χεν Ἰ#ου#λι#α#νὴ μάρ#τυ#ρα νη#ο#πό#λον·,,16,2,DD_ ‖DDÈ,1,,,,,,1,,,_1 3 4,,,,,,,,,,,,
